transect_id,group_id,TransOrder,azimuth_deg,shoreline_count,shoreline_change_envelope_m,net_shoreline_movement_m,endpoint_rate_myr,endpoint_rate_unc_myr,linear_regression_rate_myr,linear_regression_r2,linear_regression_ci95_myr,weighted_linear_regression_rate_myr,weighted_regression_r2,weighted_regression_ci95_myr
518,0,518,93.12,18,70.96,-54.92,-1.34,0.03,-1.29,0.69,0.46,-1.29,0.69,0.46
519,0,519,92.68,18,61.14,-45.09,-1.1,0.03,-1.14,0.67,0.43,-1.14,0.67,0.43
520,0,520,92.33,18,66.63,-51.51,-1.26,0.03,-1.25,0.67,0.46,-1.25,0.67,0.46
521,0,521,91.98,18,82.19,-65.22,-1.59,0.03,-1.49,0.7,0.51,-1.49,0.7,0.51
522,0,522,92.01,18,91.95,-75.72,-1.85,0.03,-1.7,0.72,0.56,-1.7,0.72,0.56
523,0,523,92.99,18,81.52,-61.45,-1.5,0.03,-1.74,0.74,0.55,-1.74,0.74,0.55
524,0,524,94.56,18,78.77,-49.59,-1.21,0.03,-1.52,0.64,0.6,-1.52,0.64,0.6
525,0,525,95.39,18,84.01,-57.88,-1.41,0.03,-1.03,0.25,0.93,-1.03,0.25,0.93
526,0,526,95.98,18,64.37,-42.9,-1.05,0.03,-1.0,0.42,0.62,-1.0,0.42,0.62
527,0,527,94.11,18,70.91,-42.44,-1.03,0.03,-1.08,0.46,0.61,-1.08,0.46,0.61
528,0,528,93.59,18,67.11,-42.21,-1.03,0.03,-1.07,0.52,0.55,-1.07,0.52,0.55
529,0,529,94.25,18,52.01,-34.87,-0.85,0.03,-0.81,0.45,0.48,-0.81,0.45,0.48
530,0,530,94.67,18,59.09,-47.14,-1.15,0.03,-0.78,0.27,0.69,-0.78,0.27,0.69
531,0,531,94.95,18,43.29,-37.73,-0.92,0.03,-0.45,0.15,0.57,-0.45,0.15,0.57
532,0,532,95.24,18,60.33,-48.76,-1.19,0.03,-0.85,0.39,0.56,-0.85,0.39,0.56
